 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,202,110.9533,19.4730,13.2077,15.9635,0.2062,1.4744,0.6783,0.4514
2,361,71.2548,23.5451,19.5216,15.4884,0.8935,1.2061,0.8291,0.9413
3,399,78.0833,24.7203,20.5509,105.2929,0.8224,1.2029,0.8313,0.9120
4,305,64.7696,20.8779,18.6005,177.7380,0.9136,1.1224,0.8909,0.9327
5,346,69.0122,21.9365,20.0826,6.6503,0.9129,1.0923,0.9155,0.9389
6,391,73.4975,22.8363,21.8002,174.9538,0.9096,1.0475,0.9546,0.9298
7,323,67.8406,20.9502,19.6302,94.1421,0.8819,1.0672,0.9370,0.9335
8,101,54.5269,18.7866,6.8451,4.4845,0.4269,2.7445,0.3644,0.6372
9,362,71.0122,22.7477,20.2619,2.8404,0.9021,1.1227,0.8907,0.9378
10,81,53.9411,18.2499,5.6511,11.2287,0.3498,3.2294,0.3097,0.5956
11,112,65.8406,16.6297,8.5752,28.9338,0.3247,1.9393,0.5157,0.5045
12,395,75.8406,24.5926,20.4504,15.8774,0.8630,1.2026,0.8316,0.9175
13,137,65.5980,19.3832,8.9992,8.2444,0.4001,2.1539,0.4643,0.6035
14,392,75.1543,23.4130,21.3177,36.7477,0.8721,1.0983,0.9105,0.9256
15,406,84.2254,23.9727,21.5635,136.3542,0.7192,1.1117,0.8995,0.8769
16,401,79.2548,24.0268,21.2500,47.7865,0.8022,1.1307,0.8844,0.9155
17,296,61.9411,19.5032,19.3239,58.5846,0.9695,1.0093,0.9908,0.9533
18,130,64.5269,17.4692,9.4750,1.9818,0.3923,1.8437,0.5424,0.6357
19,365,72.5269,22.4808,20.6724,136.3488,0.8720,1.0875,0.9196,0.9323
20,461,84.3259,25.0231,23.4569,101.5288,0.8147,1.0668,0.9374,0.8917
21,345,69.2548,21.7820,20.1666,147.5916,0.9039,1.0801,0.9258,0.9337
22,352,73.0122,23.0473,19.4461,140.2051,0.8298,1.1852,0.8437,0.9275
23,656,102.9117,31.0309,26.9166,2.4329,0.7784,1.1529,0.8674,0.9042
24,326,71.9411,22.8945,18.1300,6.1442,0.7915,1.2628,0.7919,0.8847
25,369,71.9411,23.6388,19.8752,38.0822,0.8959,1.1894,0.8408,0.9437
26,377,75.8406,24.0560,19.9539,174.6713,0.8237,1.2056,0.8295,0.9252
27,102,60.4264,17.7492,7.3170,10.2976,0.3510,2.4258,0.4122,0.6036
28,388,72.6690,22.9205,21.5535,175.4918,0.9233,1.0634,0.9404,0.9383
29,312,65.5980,21.4357,18.5322,80.5674,0.9111,1.1567,0.8645,0.9355
30,362,70.4264,22.8377,20.1821,179.4789,0.9172,1.1316,0.8837,0.9415
31,356,69.8406,21.4708,21.1111,146.8448,0.9172,1.0170,0.9832,0.9344
32,366,78.6690,26.7615,17.4133,5.8007,0.7432,1.5368,0.6507,0.9004
33,96,54.7696,16.3764,7.4638,164.2868,0.4022,2.1941,0.4558,0.5926
34,141,68.7696,20.7644,8.6459,20.1462,0.3747,2.4017,0.4164,0.5685
35,346,69.8406,21.5128,20.4781,35.9521,0.8914,1.0505,0.9519,0.9314
36,382,72.1838,22.2783,21.8319,4.5245,0.9213,1.0204,0.9800,0.9432
37,390,75.2548,22.8692,21.7132,60.4923,0.8654,1.0532,0.9494,0.9220
38,295,66.2843,21.5204,17.4535,3.7797,0.8437,1.2330,0.8110,0.9262
39,330,73.2548,22.1670,18.9547,34.4793,0.7728,1.1695,0.8551,0.8992
40,388,77.0122,24.6355,20.0530,154.9115,0.8221,1.2285,0.8140,0.9034
41,440,80.9117,26.6217,21.0439,46.6578,0.8446,1.2651,0.7905,0.9148
42,159,82.6690,22.6952,8.9202,173.2702,0.2924,2.5443,0.3930,0.5188
43,653,103.9828,36.4076,22.8366,104.6897,0.7589,1.5943,0.6272,0.9269
44,447,82.6690,24.3156,23.4063,34.6869,0.8219,1.0388,0.9626,0.9198
45,347,71.4975,21.7251,20.3366,105.0139,0.8530,1.0683,0.9361,0.9192
46,437,83.4975,25.6865,21.6614,21.8232,0.7877,1.1858,0.8433,0.9010
47,435,127.0538,27.7111,19.9869,72.1147,0.3386,1.3865,0.7213,0.7423
48,381,74.6690,23.3722,20.7556,108.5895,0.8587,1.1261,0.8880,0.9214
49,163,67.0122,16.9934,12.2129,18.1304,0.4561,1.3914,0.7187,0.6417
50,243,60.2843,21.1407,14.6351,163.4255,0.8402,1.4445,0.6923,0.9240
51,390,74.6690,24.1500,20.5617,8.5347,0.8790,1.1745,0.8514,0.9220
52,367,141.8234,24.4363,19.1223,79.0334,0.2293,1.2779,0.7825,0.6153
53,483,85.8406,26.5294,23.1809,34.3992,0.8237,1.1444,0.8738,0.9191
54,347,76.5685,21.7556,20.3081,50.3343,0.7438,1.0713,0.9335,0.8741
55,713,109.2548,35.8880,25.2959,58.2264,0.7506,1.4187,0.7049,0.9014
56,347,81.2548,23.2788,18.9792,29.7430,0.6605,1.2265,0.8153,0.8741
57,335,69.2548,22.4388,19.0088,70.2429,0.8777,1.1804,0.8471,0.9178
58,97,70.0833,18.3923,6.7150,176.3602,0.2482,2.7390,0.3651,0.4245
59,304,65.1127,20.9333,18.4904,96.4618,0.9011,1.1321,0.8833,0.9470
60,377,77.5980,23.0282,20.8445,10.6195,0.7868,1.1048,0.9052,0.8850
61,386,73.0122,22.3007,22.0383,164.4413,0.9099,1.0119,0.9882,0.9426
62,339,68.1838,22.2037,19.4395,171.6009,0.9163,1.1422,0.8755,0.9378
63,126,65.2548,18.9075,8.4849,0.6168,0.3718,2.2284,0.4488,0.5986
64,381,73.2548,22.8133,21.2641,27.3613,0.8922,1.0729,0.9321,0.9384
65,601,93.2548,30.9117,24.7549,3.8196,0.8684,1.2487,0.8008,0.9472
66,357,73.2548,25.8033,17.6158,18.9377,0.8360,1.4648,0.6827,0.9119
67,406,75.3553,24.4769,21.1193,44.2112,0.8985,1.1590,0.8628,0.9387
68,841,190.2082,44.7551,23.9257,34.4590,0.2921,1.8706,0.5346,0.7151
69,91,53.6985,20.6755,5.6040,170.6961,0.3966,3.6894,0.2710,0.6947
70,488,83.0122,27.4529,22.6330,19.5146,0.8899,1.2130,0.8244,0.9503
71,436,78.4264,25.9003,21.4335,178.8139,0.8908,1.2084,0.8275,0.9397
72,489,86.5269,27.2103,22.8816,96.8672,0.8208,1.1892,0.8409,0.9523
73,292,68.2843,19.3444,19.2193,58.9625,0.7870,1.0065,0.9935,0.9211
74,413,81.5980,25.4397,20.6703,179.5631,0.7795,1.2307,0.8125,0.9127
75,99,59.5980,17.8684,7.0544,0.8650,0.3503,2.5329,0.3948,0.5706
76,412,75.0122,23.0465,22.7616,140.2369,0.9201,1.0125,0.9876,0.9482
77,122,61.4558,25.7640,6.0292,9.0633,0.4059,4.2732,0.2340,0.7176
78,325,65.9411,21.2202,19.5004,2.8053,0.9392,1.0882,0.9190,0.9489
79,389,74.8701,24.4191,20.2829,47.8705,0.8721,1.2039,0.8306,0.9546
80,284,65.6985,21.6677,16.6884,21.8553,0.8268,1.2984,0.7702,0.9132
81,405,75.8406,24.7779,20.8114,161.9263,0.8848,1.1906,0.8399,0.9364
82,134,65.8406,19.2457,8.8651,26.4673,0.3884,2.1710,0.4606,0.6091
83,123,67.5980,18.7381,8.3577,22.3076,0.3383,2.2420,0.4460,0.5290
84,485,88.9117,27.2577,22.6549,7.8018,0.7710,1.2032,0.8311,0.9125
85,455,82.0833,26.5590,21.8127,66.6530,0.8486,1.2176,0.8213,0.9257
86,421,80.6690,24.4575,21.9170,124.9582,0.8130,1.1159,0.8961,0.9263
87,368,71.0122,21.8976,21.3975,108.0464,0.9170,1.0234,0.9772,0.9376
88,395,73.2548,22.6887,22.1666,176.5088,0.9250,1.0236,0.9770,0.9371
89,381,79.0122,26.4724,18.3249,88.5588,0.7669,1.4446,0.6922,0.8954
90,285,67.2132,24.5401,14.7869,3.9352,0.7928,1.6596,0.6026,0.9406
91,615,104.3259,37.2749,21.0072,154.9745,0.7101,1.7744,0.5636,0.9011
92,374,80.4264,23.7569,20.0444,135.6356,0.7266,1.1852,0.8437,0.8627
93,598,97.3970,32.2798,23.5874,4.8548,0.7922,1.3685,0.7307,0.9172
94,455,81.8406,26.2677,22.0546,96.6146,0.8537,1.1910,0.8396,0.9305
95,381,75.4975,23.3965,20.7341,98.2113,0.8400,1.1284,0.8862,0.9093
96,112,60.7696,18.3164,7.7855,11.7028,0.3811,2.3526,0.4251,0.5803
97,605,93.7401,32.3443,23.8159,61.0305,0.8652,1.3581,0.7363,0.9543
98,609,94.9117,28.3666,27.3351,141.4491,0.8495,1.0377,0.9636,0.9262
