 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,629,137.4386,32.0597,24.9805,92.5564,0.4184,1.2834,0.7792,0.7387
2,449,78.7696,25.2461,22.6444,33.6115,0.9094,1.1149,0.8969,0.9493
3,476,81.0122,26.9571,22.4825,6.2975,0.9114,1.1990,0.8340,0.9501
4,392,74.1838,24.6488,20.2489,179.3323,0.8951,1.2173,0.8215,0.9434
5,83,46.6274,18.8967,5.5924,5.7566,0.4797,3.3790,0.2959,0.7155
6,405,76.4264,24.4311,21.1068,177.3137,0.8713,1.1575,0.8639,0.9353
7,450,84.5685,26.9056,21.2951,23.9532,0.7907,1.2635,0.7915,0.9082
8,469,84.3259,27.4158,21.7812,25.1940,0.8288,1.2587,0.7945,0.9151
9,437,77.5980,24.6316,22.5891,67.8313,0.9120,1.0904,0.9171,0.9479
10,396,79.7401,26.9101,18.7366,32.2764,0.7826,1.4362,0.6963,0.9062
11,443,81.2548,25.1968,22.3856,164.1737,0.8432,1.1256,0.8884,0.9376
12,533,90.9117,27.8066,24.4056,6.6865,0.8104,1.1394,0.8777,0.9119
13,1737,175.6812,48.3540,45.7380,24.3933,0.7072,1.0572,0.9459,0.9021
14,409,77.8406,24.9179,20.8988,103.7222,0.8482,1.1923,0.8387,0.9243
15,340,70.1838,22.4696,19.2661,167.5653,0.8674,1.1663,0.8574,0.9264
16,444,77.5980,25.3733,22.2800,178.2011,0.9266,1.1388,0.8781,0.9528
17,594,91.4975,30.8488,24.5165,121.5399,0.8916,1.2583,0.7947,0.9459
18,325,71.1127,23.8731,17.3334,0.1437,0.8076,1.3773,0.7261,0.9155
19,658,96.6690,33.0154,25.3758,95.5963,0.8848,1.3011,0.7686,0.9461
20,111,49.1127,14.1723,9.9722,144.6719,0.5783,1.4212,0.7036,0.7327
21,382,73.0122,22.8804,21.2574,79.7421,0.9005,1.0764,0.9291,0.9386
22,101,59.0122,18.5846,6.9196,3.3014,0.3645,2.6858,0.3723,0.5722
23,446,79.9411,24.1525,23.5116,29.2626,0.8770,1.0273,0.9735,0.9380
24,352,71.4975,23.5717,19.0135,152.4048,0.8653,1.2397,0.8066,0.9227
25,426,76.4264,24.4054,22.2246,113.2175,0.9165,1.0981,0.9106,0.9425
26,349,71.2132,22.8884,19.4143,173.0651,0.8648,1.1789,0.8482,0.9654
27,198,72.1838,20.4803,12.3095,177.4689,0.4775,1.6638,0.6010,0.6984
28,422,77.8406,23.7089,22.6627,178.6786,0.8752,1.0462,0.9559,0.9388
29,402,77.0122,26.4871,19.3242,178.1178,0.8518,1.3707,0.7296,0.9306
30,325,68.9117,22.7717,18.1718,144.0252,0.8600,1.2531,0.7980,0.9312
31,468,80.6690,27.4360,21.7187,5.3949,0.9037,1.2632,0.7916,0.9455
32,356,75.0122,21.9963,20.6068,149.3442,0.7951,1.0674,0.9368,0.8922
33,506,84.9117,28.0836,22.9407,179.7000,0.8819,1.2242,0.8169,0.9370
