 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,396,73.8406,24.1767,20.8549,168.7660,0.9127,1.1593,0.8626,0.9440
2,433,78.4264,27.2412,20.2382,1.3024,0.8847,1.3460,0.7429,0.9516
3,360,70.7696,23.8318,19.2334,152.5014,0.9033,1.2391,0.8070,0.9375
4,969,129.8823,43.9797,28.0532,66.2405,0.7218,1.5677,0.6379,0.9052
5,140,64.1838,16.9722,10.5027,170.5015,0.4271,1.6160,0.6188,0.6573
6,464,80.4264,24.7457,23.8742,14.4223,0.9014,1.0365,0.9648,0.9460
7,399,75.7401,24.3627,20.8525,26.9970,0.8740,1.1683,0.8559,0.9172
8,1190,148.4680,48.1034,31.4979,108.8221,0.6784,1.5272,0.6548,0.8756
9,350,68.1838,21.6552,20.5786,38.6720,0.9461,1.0523,0.9503,0.9472
10,429,81.8406,25.3807,21.5211,47.1198,0.8049,1.1793,0.8479,0.9336
11,958,123.8823,42.7167,28.5547,38.0562,0.7844,1.4960,0.6685,0.9189
12,394,74.7696,24.6255,20.3714,14.0168,0.8856,1.2088,0.8272,0.9448
13,459,79.8406,25.8515,22.6067,14.3524,0.9048,1.1435,0.8745,0.9444
14,560,98.5685,30.7253,23.2061,167.9033,0.7243,1.3240,0.7553,0.9010
15,415,74.6690,23.7961,22.2050,40.2724,0.9354,1.0717,0.9331,0.9486
16,500,89.7401,27.4828,23.1643,82.0156,0.7802,1.1864,0.8429,0.8961
17,353,71.9411,22.1529,20.2887,98.9721,0.8571,1.0919,0.9159,0.9451
18,419,75.8406,23.7538,22.4590,169.5566,0.9154,1.0577,0.9455,0.9437
19,483,84.0833,25.9141,23.7313,105.8030,0.8585,1.0920,0.9158,0.9306
20,382,76.1838,25.6663,18.9501,85.3428,0.8271,1.3544,0.7383,0.9194
21,479,84.0833,26.4520,23.0562,156.6907,0.8514,1.1473,0.8716,0.9283
22,441,82.0833,28.1220,19.9665,8.2180,0.8225,1.4085,0.7100,0.9037
23,531,90.4264,28.7220,23.5391,3.3943,0.8160,1.2202,0.8195,0.9283
24,456,83.4975,27.7166,20.9477,104.8248,0.8219,1.3231,0.7558,0.9166
25,404,73.5980,23.4539,21.9319,178.4282,0.9373,1.0694,0.9351,0.9506
26,506,95.7401,32.7905,19.6477,179.9205,0.6937,1.6689,0.5992,0.9068
27,534,91.1543,27.3523,24.8575,52.3193,0.8076,1.1004,0.9088,0.9175
28,256,86.0833,19.9633,16.3274,168.1136,0.4341,1.2227,0.8179,0.6473
29,706,105.9828,37.0704,24.2486,104.8871,0.7898,1.5288,0.6541,0.9241
30,960,125.3970,40.8592,29.9152,61.4473,0.7672,1.3658,0.7322,0.9100
31,513,87.2548,26.3388,24.7988,11.2165,0.8467,1.0621,0.9415,0.9268
32,445,78.4264,25.2337,22.4537,7.2375,0.9092,1.1238,0.8898,0.9418
33,408,74.1838,23.6785,21.9390,172.9917,0.9316,1.0793,0.9265,0.9522
34,89,48.0416,17.4608,6.4899,166.4629,0.4846,2.6905,0.3717,0.7149
35,160,82.3259,21.2596,9.5824,156.6801,0.2967,2.2186,0.4507,0.5008
36,513,88.9117,28.2115,23.1527,95.9329,0.8155,1.2185,0.8207,0.9293
37,626,99.4975,31.2898,25.4731,154.0718,0.7946,1.2283,0.8141,0.9066
38,88,57.1127,20.0884,5.5776,15.5275,0.3390,3.6016,0.2777,0.5570
39,382,73.1127,23.6291,20.5838,111.6553,0.8980,1.1479,0.8711,0.9491
40,155,65.8406,19.1442,10.3087,170.3491,0.4493,1.8571,0.5385,0.6739
41,539,90.6690,30.2028,22.7223,76.2087,0.8239,1.3292,0.7523,0.9269
42,558,99.7401,28.8657,24.6129,16.3572,0.7049,1.1728,0.8527,0.8836
43,319,71.3970,25.4148,15.9813,135.8753,0.7864,1.5903,0.6288,0.9167
