 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,382,142.8528,22.9258,21.2153,80.2387,0.2352,1.0806,0.9254,0.6356
2,269,61.3553,19.6660,17.4159,171.3178,0.8980,1.1292,0.8856,0.9276
3,93,53.5980,13.7668,8.6012,0.9946,0.4068,1.6006,0.6248,0.6414
4,89,49.6985,17.0778,6.6354,38.4944,0.4528,2.5737,0.3885,0.6246
5,461,97.0538,27.0128,21.7291,154.6722,0.6150,1.2432,0.8044,0.7928
6,1053,132.3675,44.7258,29.9765,95.6917,0.7552,1.4920,0.6702,0.9229
7,380,74.0833,22.4048,21.5950,73.5985,0.8701,1.0375,0.9639,0.9280
8,610,96.5685,31.0009,25.0534,174.7711,0.8220,1.2374,0.8082,0.9201
9,588,116.2670,31.1115,24.0639,159.1328,0.5466,1.2929,0.7735,0.8270
10,351,69.5980,21.7467,20.5505,128.7739,0.9106,1.0582,0.9450,0.9360
11,400,74.6690,23.3159,21.8433,144.5589,0.9015,1.0674,0.9368,0.9313
12,87,45.1127,13.7348,8.0651,56.9056,0.5372,1.7030,0.5872,0.7342
13,548,121.2965,38.5113,18.1177,177.8699,0.4681,2.1256,0.4705,0.7862
14,422,76.9117,24.2720,22.1369,134.2750,0.8965,1.0964,0.9120,0.9336
15,256,112.7107,20.2309,16.1115,104.4942,0.2532,1.2557,0.7964,0.5306
16,406,75.0122,23.8649,21.6609,22.9421,0.9067,1.1018,0.9076,0.9409
17,135,50.0416,16.8150,10.2223,24.6096,0.6775,1.6449,0.6079,0.8682
18,98,38.1421,11.8742,10.5083,6.7242,0.8465,1.1300,0.8850,0.9202
19,462,95.6396,26.2944,22.3712,23.8929,0.6347,1.1754,0.8508,0.8028
20,373,72.4264,23.8650,19.9002,9.4509,0.8936,1.1992,0.8339,0.9302
21,1951,188.2082,55.0263,45.1437,95.7919,0.6921,1.2189,0.8204,0.8915
22,171,61.9411,17.8145,12.2217,24.9315,0.5601,1.4576,0.6861,0.7685
23,353,68.7696,22.9697,19.5672,173.2221,0.9380,1.1739,0.8519,0.9502
24,301,63.3553,19.8192,19.3371,161.5761,0.9423,1.0249,0.9757,0.9436
25,144,68.9117,18.5843,9.8657,14.3683,0.3811,1.8837,0.5309,0.5902
26,436,80.3259,25.0031,22.2025,97.2479,0.8492,1.1261,0.8880,0.9286
27,110,59.8406,18.1038,7.7363,7.7556,0.3860,2.3401,0.4273,0.5867
28,332,68.5269,22.8304,18.5154,0.2129,0.8884,1.2330,0.8110,0.9459
29,256,124.2670,19.9822,16.3120,87.9799,0.2083,1.2250,0.8163,0.5620
30,355,71.2548,22.0035,20.5422,141.0999,0.8786,1.0711,0.9336,0.9257
31,815,121.0538,41.7719,24.8418,26.4848,0.6989,1.6815,0.5947,0.8749
32,194,77.2548,19.4696,12.6869,10.9950,0.4085,1.5346,0.6516,0.6258
33,327,66.7696,20.6565,20.1559,162.2756,0.9217,1.0248,0.9758,0.9397
34,402,76.6690,23.2054,22.0571,118.5814,0.8594,1.0521,0.9505,0.9220
35,286,65.7990,22.2703,16.3512,4.0888,0.8301,1.3620,0.7342,0.9392
36,341,68.1838,21.7911,19.9244,97.6534,0.9217,1.0937,0.9143,0.9420
37,413,75.2548,23.3018,22.5668,51.4181,0.9164,1.0326,0.9685,0.9386
38,551,101.3970,28.3890,24.7122,116.3540,0.6735,1.1488,0.8705,0.8830
39,426,80.0833,27.2846,19.8794,106.0181,0.8347,1.3725,0.7286,0.9241
40,385,75.7401,23.4260,20.9254,46.7992,0.8434,1.1195,0.8933,0.9300
41,357,73.3553,25.4571,17.8554,174.4073,0.8337,1.4257,0.7014,0.9177
