 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,391,79.2548,24.4023,20.4013,5.0011,0.7822,1.1961,0.8360,0.9020
2,83,39.4558,14.5370,7.2697,21.7107,0.6700,1.9997,0.5001,0.8300
3,358,72.7696,23.8028,19.1498,171.2305,0.8496,1.2430,0.8045,0.9251
4,446,77.8406,24.6086,23.0758,35.2616,0.9250,1.0664,0.9377,0.9459
5,413,75.2548,23.0560,22.8075,3.3659,0.9164,1.0109,0.9892,0.9418
6,466,80.6690,24.6572,24.0631,91.0357,0.8999,1.0247,0.9759,0.9443
7,410,76.5269,24.2352,21.5400,174.6707,0.8798,1.1251,0.8888,0.9535
8,326,74.0833,22.1127,18.7710,170.5815,0.7464,1.1780,0.8489,0.8895
9,460,80.1838,28.3510,20.6585,176.1573,0.8991,1.3724,0.7287,0.9553
10,301,65.8406,21.4878,17.8355,36.2206,0.8725,1.2048,0.8300,0.9262
11,404,74.4264,23.5028,21.8862,69.2757,0.9165,1.0739,0.9312,0.9406
12,467,81.3553,24.7902,23.9854,114.4099,0.8867,1.0336,0.9675,0.9434
13,383,72.1838,22.3740,21.7954,102.2637,0.9237,1.0265,0.9741,0.9433
14,416,75.5980,23.2566,22.7749,123.0375,0.9147,1.0211,0.9793,0.9444
15,349,72.1838,22.5908,19.6700,75.6262,0.8417,1.1485,0.8707,0.9100
16,379,73.8406,23.3104,20.7014,124.1465,0.8735,1.1260,0.8881,0.9289
17,467,81.2548,25.6791,23.1551,160.2184,0.8888,1.1090,0.9017,0.9359
18,522,85.4975,26.2626,25.3071,99.4137,0.8974,1.0378,0.9636,0.9346
19,466,79.5980,25.4792,23.2868,3.5766,0.9243,1.0942,0.9140,0.9539
20,462,81.0122,24.9629,23.5645,98.1573,0.8846,1.0593,0.9440,0.9400
21,374,74.7696,23.9822,19.8561,104.6140,0.8407,1.2078,0.8280,0.9303
22,501,82.6690,25.3256,25.1877,94.9693,0.9212,1.0055,0.9946,0.9480
23,454,79.8406,25.2685,22.8763,3.5712,0.8950,1.1046,0.9053,0.9380
24,326,66.7696,22.1623,18.7289,111.9065,0.9189,1.1833,0.8451,0.9395
25,397,77.3553,24.6075,20.5416,37.0737,0.8337,1.1979,0.8348,0.9385
26,493,85.4975,28.5117,22.0157,71.8351,0.8475,1.2951,0.7722,0.9319
27,527,84.6690,26.0326,25.7753,127.4474,0.9238,1.0100,0.9901,0.9513
28,445,79.0122,26.0890,21.7176,1.4467,0.8957,1.2013,0.8324,0.9418
29,1131,140.7107,44.1489,32.6177,55.7558,0.7178,1.3535,0.7388,0.9290
30,489,82.6690,25.7740,24.1567,128.7925,0.8992,1.0670,0.9372,0.9440
31,440,78.1838,24.1638,23.1845,147.3934,0.9045,1.0422,0.9595,0.9462
32,310,67.6985,21.5751,18.2944,173.9117,0.8500,1.1793,0.8479,0.9408
33,453,79.8406,24.6340,23.4139,110.1093,0.8930,1.0521,0.9505,0.9350
34,439,93.4975,30.3849,18.3957,160.9542,0.6311,1.6517,0.6054,0.9052
35,374,72.7696,24.0557,19.7954,175.3220,0.8875,1.2152,0.8229,0.9315
36,351,67.9411,21.8478,20.4554,164.6773,0.9555,1.0681,0.9363,0.9603
37,365,71.0122,22.7391,20.4376,104.7661,0.9096,1.1126,0.8988,0.9395
38,377,71.8406,22.4584,21.3733,139.4484,0.9179,1.0508,0.9517,0.9343
39,396,84.0833,27.4659,18.3574,148.1326,0.7039,1.4962,0.6684,0.8646
40,464,79.5980,24.5478,24.0667,98.5046,0.9203,1.0200,0.9804,0.9547
41,103,42.2843,15.7624,8.3200,125.0231,0.7239,1.8945,0.5278,0.8273
42,477,81.8406,25.2209,24.0806,4.4335,0.8949,1.0474,0.9548,0.9464
43,438,77.8406,23.8663,23.3668,121.8811,0.9084,1.0214,0.9791,0.9399
44,746,111.9828,33.6764,28.2049,92.5111,0.7476,1.1940,0.8375,0.9010
45,430,79.3553,23.8302,22.9748,169.0876,0.8581,1.0372,0.9641,0.9198
46,449,79.9411,25.6278,22.3072,176.4165,0.8829,1.1489,0.8704,0.9523
47,461,84.9117,24.8602,23.6105,173.0985,0.8035,1.0529,0.9497,0.9093
48,507,84.0833,25.9616,24.8649,136.6504,0.9012,1.0441,0.9578,0.9398
49,424,75.5980,23.3749,23.0954,72.5768,0.9323,1.0121,0.9880,0.9550
