 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,643,121.0538,39.0016,20.9913,98.8894,0.5514,1.8580,0.5382,0.8043
2,165,71.8406,20.7880,10.1060,43.7943,0.4017,2.0570,0.4861,0.6033
3,417,77.5980,23.8175,22.2921,12.3558,0.8703,1.0684,0.9360,0.9350
4,401,78.6690,28.3638,18.0007,166.7999,0.8142,1.5757,0.6346,0.9176
5,553,88.9117,26.9923,26.0853,58.3891,0.8791,1.0348,0.9664,0.9389
6,403,78.1838,24.1379,21.2577,166.5983,0.8285,1.1355,0.8807,0.9286
7,1200,139.6396,47.4291,32.2141,100.1270,0.7733,1.4723,0.6792,0.9288
8,111,58.7696,19.4162,7.2790,179.2552,0.4039,2.6674,0.3749,0.6167
9,565,96.0833,33.4508,21.5056,4.7639,0.7691,1.5554,0.6429,0.9202
10,441,79.8406,25.7843,21.7768,14.1953,0.8694,1.1840,0.8446,0.9363
11,2513,245.4214,58.9763,54.2532,8.8132,0.5243,1.0871,0.9199,0.7968
12,392,75.5980,24.0149,20.7833,8.8213,0.8619,1.1555,0.8654,0.9267
13,144,77.0122,19.2009,9.5489,1.2151,0.3051,2.0108,0.4973,0.4991
14,680,98.6690,32.5852,26.5704,87.9572,0.8777,1.2264,0.8154,0.9438
15,491,89.9411,27.8245,22.4680,166.7259,0.7627,1.2384,0.8075,0.9326
16,103,61.5563,28.4725,4.6060,95.2543,0.3416,6.1817,0.1618,0.8374
17,2044,191.4802,59.0666,44.0604,44.1114,0.7006,1.3406,0.7459,0.8961
18,488,83.2548,26.3198,23.6074,38.5156,0.8847,1.1149,0.8969,0.9421
19,408,79.0122,24.6148,21.1044,97.5760,0.8213,1.1663,0.8574,0.9220
20,121,51.3553,17.0545,9.0335,151.0941,0.5765,1.8879,0.5297,0.8582
21,392,72.7696,23.6379,21.1148,18.8971,0.9302,1.1195,0.8933,0.9515
22,652,99.2548,34.5280,24.0429,106.1456,0.8317,1.4361,0.6963,0.9368
23,429,77.5980,25.0710,21.7869,103.3880,0.8953,1.1507,0.8690,0.9418
24,443,78.1838,24.9650,22.5935,169.1506,0.9107,1.1050,0.9050,0.9547
25,81,47.6985,20.8097,4.9560,24.8988,0.4474,4.1989,0.2382,0.8060
26,352,71.4975,23.7145,18.8990,145.5739,0.8653,1.2548,0.7969,0.9215
27,689,111.2965,37.2771,23.5335,172.2246,0.6990,1.5840,0.6313,0.8913
28,531,98.8701,37.4999,18.0291,176.9859,0.6826,2.0800,0.4808,0.9031
29,248,93.7401,23.8432,13.2434,37.9881,0.3547,1.8004,0.5554,0.5695
30,339,72.0833,23.6236,18.2710,151.1056,0.8199,1.2930,0.7734,0.9028
31,453,84.1838,24.5430,23.5007,151.8684,0.8033,1.0443,0.9575,0.9170
32,353,71.4975,22.6566,19.8377,144.5587,0.8678,1.1421,0.8756,0.9253
33,303,67.5980,21.1051,18.2795,153.6036,0.8333,1.1546,0.8661,0.9498
34,479,82.4264,25.9241,23.5257,9.9205,0.8860,1.1019,0.9075,0.9383
35,706,103.9411,37.9363,23.6952,8.1146,0.8212,1.6010,0.6246,0.9612
36,466,82.7696,26.5627,22.3370,1.1317,0.8548,1.1892,0.8409,0.9462
37,236,100.2254,23.9891,12.5259,29.1116,0.2952,1.9152,0.5221,0.5027
38,241,66.0416,21.1945,14.4779,93.9086,0.6944,1.4639,0.6831,0.9009
39,398,73.8406,23.3852,21.6696,170.4611,0.9173,1.0792,0.9266,0.9387
40,399,75.9411,23.7438,21.3960,104.9719,0.8694,1.1097,0.9011,0.9410
41,434,83.8406,24.8778,22.2120,88.9282,0.7759,1.1200,0.8928,0.8958
42,455,81.2548,25.0606,23.1169,16.5357,0.8660,1.0841,0.9224,0.9411
43,784,110.9117,37.3056,26.7579,134.2733,0.8009,1.3942,0.7173,0.9367
44,1416,166.7107,56.0404,32.1716,11.9561,0.6402,1.7419,0.5741,0.8695
45,436,78.1838,24.7110,22.4650,124.6718,0.8963,1.1000,0.9091,0.9407
46,1564,171.5807,53.2827,37.3733,5.1243,0.6676,1.4257,0.7014,0.8866
47,450,79.5980,26.4995,21.6215,6.5699,0.8925,1.2256,0.8159,0.9356
48,459,82.4264,28.3071,20.6456,100.7696,0.8490,1.3711,0.7293,0.9263
49,983,140.6102,50.7467,24.6635,156.6109,0.6248,2.0576,0.4860,0.8757
50,504,87.7401,29.7766,21.5509,9.5258,0.8227,1.3817,0.7238,0.9048
51,422,79.5980,25.7880,20.8356,164.9547,0.8370,1.2377,0.8080,0.9316
52,396,77.0122,25.1890,20.0168,96.4177,0.8390,1.2584,0.7947,0.9188
53,449,79.0122,24.3109,23.5156,38.1016,0.9038,1.0338,0.9673,0.9383
54,388,73.5980,23.5046,21.0179,0.1789,0.9001,1.1183,0.8942,0.9417
55,388,75.5980,24.9476,19.8022,8.0658,0.8531,1.2598,0.7938,0.9194
56,630,101.3970,35.4741,22.6120,20.1246,0.7700,1.5688,0.6374,0.9032
57,425,81.0122,26.6613,20.2963,10.4566,0.8138,1.3136,0.7613,0.9101
58,328,70.7696,22.3906,18.6517,26.4204,0.8230,1.2005,0.8330,0.9175
59,568,96.6690,35.0758,20.6182,12.3884,0.7638,1.7012,0.5878,0.9191
60,582,95.8406,31.3269,23.6546,149.9626,0.7962,1.3244,0.7551,0.9187
61,622,99.3553,33.2728,23.8019,80.7741,0.7918,1.3979,0.7154,0.9346
62,732,108.6690,38.7550,24.0488,168.8443,0.7789,1.6115,0.6205,0.9361
63,420,75.3553,24.5024,21.8248,27.3895,0.9295,1.1227,0.8907,0.9589
64,502,90.7696,32.3518,19.7568,81.3784,0.7657,1.6375,0.6107,0.9211
65,99,60.8701,21.2199,5.9402,6.6716,0.3358,3.5722,0.2799,0.6018
66,250,61.4558,20.9874,15.1667,1.1011,0.8318,1.3838,0.7227,0.9524
67,1378,149.7817,46.9385,37.3792,63.8641,0.7719,1.2557,0.7963,0.9024
68,162,86.6690,20.8443,9.8955,13.3257,0.2710,2.1064,0.4747,0.4544
69,361,73.9411,23.9920,19.1580,9.1736,0.8297,1.2523,0.7985,0.9304
70,443,80.6690,24.4558,23.0639,66.0442,0.8555,1.0603,0.9431,0.9239
71,454,80.6690,25.4287,22.7322,149.0962,0.8767,1.1186,0.8940,0.9400
72,552,98.3259,28.6724,24.5124,172.7023,0.7175,1.1697,0.8549,0.8875
73,413,78.0833,25.5733,20.5623,160.0425,0.8512,1.2437,0.8041,0.9270
74,477,85.3553,25.3920,23.9183,139.1934,0.8227,1.0616,0.9420,0.9155
75,413,76.1838,23.0935,22.7704,102.4448,0.8942,1.0142,0.9860,0.9418
76,523,87.7401,26.7155,24.9258,176.3507,0.8537,1.0718,0.9330,0.9306
77,663,110.2254,34.3815,24.5527,138.4534,0.6857,1.4003,0.7141,0.8881
