 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,485,81.4975,25.5262,24.1917,47.4725,0.9176,1.0552,0.9477,0.9436
2,412,77.5980,24.2630,21.6204,164.6928,0.8598,1.1222,0.8911,0.9279
3,548,88.9117,28.4136,24.5564,24.5962,0.8711,1.1571,0.8642,0.9392
4,509,84.4264,26.5678,24.3934,58.6717,0.8974,1.0891,0.9182,0.9426
5,390,73.0122,22.6728,21.9013,178.7891,0.9194,1.0352,0.9660,0.9432
6,450,78.4264,25.0505,22.8721,175.0298,0.9194,1.0952,0.9130,0.9474
7,428,76.6690,24.3177,22.4095,17.3327,0.9150,1.0852,0.9215,0.9469
8,393,73.5980,23.4023,21.3818,178.7049,0.9117,1.0945,0.9137,0.9436
9,442,76.4264,25.1967,22.3352,7.4824,0.9509,1.1281,0.8864,0.9567
10,383,72.4264,22.9936,21.2081,36.7890,0.9175,1.0842,0.9224,0.9410
11,355,69.5980,21.8424,20.6937,117.9882,0.9210,1.0555,0.9474,0.9429
12,408,78.1838,24.8543,20.9011,7.4478,0.8388,1.1891,0.8409,0.9189
13,509,87.0122,26.3123,24.6303,107.2777,0.8448,1.0683,0.9361,0.9400
14,411,75.1127,23.8961,21.8991,12.1329,0.9154,1.0912,0.9164,0.9592
15,463,79.2548,24.8820,23.6923,32.6015,0.9263,1.0502,0.9522,0.9468
16,256,57.9411,18.3377,17.7748,130.5082,0.9582,1.0317,0.9693,0.9429
17,452,80.0833,26.0955,22.0537,62.9556,0.8857,1.1833,0.8451,0.9397
18,424,76.1838,23.5808,22.8937,39.6548,0.9180,1.0300,0.9709,0.9464
19,390,80.4264,29.4116,16.8832,2.0689,0.7577,1.7421,0.5740,0.9059
20,287,65.0122,21.7655,16.7890,30.3495,0.8533,1.2964,0.7714,0.9082
21,408,79.8406,24.4853,21.2160,49.5829,0.8043,1.1541,0.8665,0.9148
22,440,77.0122,25.6231,21.8641,170.7916,0.9323,1.1719,0.8533,0.9544
23,499,84.0833,26.3318,24.1285,174.7334,0.8869,1.0913,0.9163,0.9406
24,465,82.4264,27.0102,21.9198,67.1877,0.8601,1.2322,0.8115,0.9394
25,383,73.5980,23.0751,21.1332,151.9649,0.8885,1.0919,0.9158,0.9387
26,420,77.0122,24.4543,21.8678,75.9026,0.8899,1.1183,0.8942,0.9417
27,427,76.1838,23.4523,23.1821,14.1785,0.9245,1.0117,0.9885,0.9499
28,470,80.4264,25.6294,23.3490,15.3400,0.9131,1.0977,0.9110,0.9505
29,509,91.3970,28.6521,22.6189,56.7255,0.7657,1.2667,0.7894,0.8993
30,290,63.1127,19.7501,18.6956,32.0554,0.9149,1.0564,0.9466,0.9355
31,322,69.6985,23.2420,17.6397,99.4673,0.8330,1.3176,0.7590,0.9240
32,323,70.5269,23.3826,17.5881,99.1055,0.8160,1.3295,0.7522,0.9268
33,434,77.5980,25.2368,21.8960,72.0261,0.9057,1.1526,0.8676,0.9466
34,109,59.5980,18.3712,7.5544,160.2522,0.3856,2.4319,0.4112,0.5752
