 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,194,100.5685,19.6865,12.5471,178.3365,0.2410,1.5690,0.6373,0.5125
2,309,66.5269,20.0885,19.5848,162.2898,0.8774,1.0257,0.9749,0.9364
3,527,96.2254,28.5068,23.5382,130.2930,0.7152,1.2111,0.8257,0.8754
4,489,83.2548,25.9253,24.0157,156.6316,0.8865,1.0795,0.9263,0.9395
5,397,73.0122,23.3829,21.6174,112.2117,0.9359,1.0817,0.9245,0.9486
6,455,80.6690,24.4499,23.6943,137.2437,0.8786,1.0319,0.9691,0.9324
7,421,79.1543,26.1378,20.5080,28.5041,0.8444,1.2745,0.7846,0.9212
8,402,75.9411,22.9373,22.3148,135.6252,0.8760,1.0279,0.9729,0.9415
9,302,70.7696,25.2737,15.2142,179.0717,0.7577,1.6612,0.6020,0.8856
10,456,79.0122,24.3874,23.8073,131.3656,0.9179,1.0244,0.9762,0.9500
11,452,80.9117,26.0236,22.1147,43.7907,0.8676,1.1768,0.8498,0.9272
12,510,88.6690,27.7385,23.4098,74.4126,0.8151,1.1849,0.8439,0.9075
13,187,83.2548,22.8322,10.4281,169.0107,0.3390,2.1895,0.4567,0.5366
14,422,76.7696,23.7533,22.6203,120.1772,0.8998,1.0501,0.9523,0.9409
15,487,83.4975,26.4411,23.4509,175.8098,0.8778,1.1275,0.8869,0.9347
16,452,79.1127,24.9276,23.0870,116.1392,0.9075,1.0797,0.9262,0.9617
17,455,78.1838,24.4898,23.6557,163.5352,0.9354,1.0353,0.9659,0.9579
18,516,86.6690,27.6439,23.7663,175.4952,0.8632,1.1632,0.8597,0.9297
19,155,61.6985,23.9924,8.2256,179.6098,0.5117,2.9168,0.3428,0.7561
20,557,88.6690,27.5337,25.7573,175.1503,0.8903,1.0690,0.9355,0.9377
21,488,81.8406,25.1155,24.7393,83.4820,0.9156,1.0152,0.9850,0.9467
22,419,76.4264,23.5035,22.6982,147.5844,0.9014,1.0355,0.9657,0.9374
23,521,87.5980,26.8614,24.6956,126.3990,0.8532,1.0877,0.9194,0.9447
24,536,86.6690,27.6387,24.6921,95.4432,0.8967,1.1193,0.8934,0.9371
25,483,81.2548,25.6945,23.9341,0.2337,0.9193,1.0736,0.9315,0.9508
26,410,75.9411,24.8579,21.0005,170.7030,0.8934,1.1837,0.8448,0.9491
27,610,91.4975,29.4282,26.3923,5.5913,0.9156,1.1150,0.8968,0.9554
28,463,83.2548,26.7511,22.0368,179.2261,0.8394,1.2139,0.8238,0.9279
29,471,81.2548,26.7418,22.4254,125.7837,0.8965,1.1925,0.8386,0.9439
30,530,85.1543,26.4676,25.4960,49.0130,0.9185,1.0381,0.9633,0.9456
31,498,83.2548,26.7040,23.7445,101.6934,0.9029,1.1246,0.8892,0.9379
32,444,77.8406,24.8618,22.7384,7.5024,0.9208,1.0934,0.9146,0.9447
33,367,72.7696,25.3082,18.4635,9.2776,0.8709,1.3707,0.7295,0.9362
34,358,69.5980,22.7409,20.0440,2.7325,0.9288,1.1345,0.8814,0.9433
35,558,87.2548,26.9393,26.3729,4.8245,0.9210,1.0215,0.9790,0.9490
36,468,79.5980,25.2425,23.6060,71.4614,0.9282,1.0693,0.9352,0.9522
37,614,95.2548,30.3591,25.7507,143.8359,0.8504,1.1790,0.8482,0.9439
38,521,88.2254,26.5590,24.9767,79.1628,0.8411,1.0633,0.9404,0.9213
39,479,81.8406,26.6613,22.8752,58.7452,0.8987,1.1655,0.8580,0.9438
40,502,87.2548,31.8080,20.0945,176.1562,0.8286,1.5829,0.6317,0.9401
41,478,81.2548,26.4011,23.0524,164.4529,0.9098,1.1453,0.8732,0.9484
42,485,88.0833,24.9603,24.7402,74.3241,0.7855,1.0089,0.9912,0.9238
43,534,89.4975,26.2930,25.8589,130.5969,0.8378,1.0168,0.9835,0.9393
44,505,84.6690,27.3154,23.5393,12.5261,0.8852,1.1604,0.8618,0.9361
45,487,82.1838,26.2480,23.6234,166.9912,0.9061,1.1111,0.9000,0.9549
46,442,80.6690,24.2832,23.1754,67.6054,0.8535,1.0478,0.9544,0.9295
47,379,75.3553,25.2984,19.0747,4.3191,0.8387,1.3263,0.7540,0.9188
48,447,78.4264,24.6197,23.1172,89.3419,0.9133,1.0650,0.9390,0.9490
49,521,93.4975,27.3311,24.2712,128.0626,0.7489,1.1261,0.8880,0.9006
50,496,84.4264,26.8222,23.5449,159.7515,0.8744,1.1392,0.8778,0.9376
51,495,86.1838,28.4217,22.1751,1.8818,0.8375,1.2817,0.7802,0.9287
52,589,98.3259,29.6032,25.3330,112.0042,0.7656,1.1686,0.8558,0.8811
53,521,85.3553,28.0546,23.6453,2.2832,0.8986,1.1865,0.8428,0.9568
54,454,78.1838,24.3278,23.7609,78.7436,0.9333,1.0239,0.9767,0.9558
55,340,72.8701,25.1664,17.2015,179.2695,0.8046,1.4630,0.6835,0.9341
56,440,77.0122,24.2727,23.0805,175.9213,0.9323,1.0517,0.9509,0.9524
57,450,80.4264,24.5017,23.3844,18.3757,0.8742,1.0478,0.9544,0.9231
58,521,86.3259,27.6175,24.0195,38.1143,0.8785,1.1498,0.8697,0.9312
59,510,86.7696,27.5644,23.5576,11.5616,0.8512,1.1701,0.8546,0.9524
60,549,88.0833,28.3539,24.6530,167.5285,0.8892,1.1501,0.8695,0.9385
61,516,85.4975,26.1493,25.1247,48.6374,0.8871,1.0408,0.9608,0.9425
62,503,84.0833,28.1476,22.7529,1.2738,0.8940,1.2371,0.8083,0.9509
63,553,87.2548,27.9895,25.1559,131.5644,0.9128,1.1126,0.8988,0.9584
64,451,78.1838,24.6109,23.3324,153.6427,0.9272,1.0548,0.9481,0.9515
65,946,126.1249,43.8967,27.4391,97.9733,0.7473,1.5998,0.6251,0.9207
66,530,88.0833,30.5624,22.0800,124.9233,0.8584,1.3842,0.7225,0.9422
67,595,92.3259,28.5692,26.5173,105.6349,0.8772,1.0774,0.9282,0.9422
68,670,96.9117,30.1553,28.2892,46.5981,0.8965,1.0660,0.9381,0.9504
69,462,79.5980,25.1818,23.3596,107.0938,0.9163,1.0780,0.9276,0.9516
70,470,79.8406,24.9682,23.9674,20.4875,0.9265,1.0418,0.9599,0.9514
71,367,74.1838,24.6088,18.9883,86.9100,0.8380,1.2960,0.7716,0.9186
72,557,88.3259,28.2633,25.0924,20.2384,0.8972,1.1264,0.8878,0.9425
73,551,94.3259,27.5687,25.4475,33.5258,0.7782,1.0834,0.9231,0.9245
74,477,80.4264,25.0809,24.2150,128.3478,0.9267,1.0358,0.9655,0.9530
75,443,80.7696,26.1663,21.5562,177.2570,0.8533,1.2139,0.8238,0.9210
76,516,92.9117,27.6014,23.8028,21.3448,0.7511,1.1596,0.8624,0.9141
77,478,84.9117,28.3633,21.4576,151.1104,0.8331,1.3218,0.7565,0.9255
78,490,85.6985,28.6250,21.7952,177.3663,0.8384,1.3134,0.7614,0.9369
79,465,79.5980,24.8815,23.7951,66.8703,0.9223,1.0457,0.9563,0.9538
80,531,88.3259,29.0060,23.3086,146.3505,0.8553,1.2444,0.8036,0.9340
