 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,407,75.8406,23.3908,22.1544,18.5890,0.8892,1.0558,0.9471,0.9292
2,425,75.8406,24.5537,22.0385,177.6582,0.9285,1.1141,0.8976,0.9444
3,907,124.3675,42.7025,27.0436,124.2552,0.7369,1.5790,0.6333,0.9222
4,494,88.4264,28.0374,22.4336,77.7866,0.7939,1.2498,0.8001,0.9199
5,547,88.3259,28.4742,24.4594,17.9032,0.8811,1.1641,0.8590,0.9350
6,385,73.6985,24.7432,19.8114,177.4683,0.8907,1.2489,0.8007,0.9530
7,408,75.5980,23.5987,22.0132,19.6950,0.8971,1.0720,0.9328,0.9369
8,583,100.3675,31.4843,23.5768,150.2705,0.7273,1.3354,0.7488,0.8969
9,623,99.1543,31.9348,24.8390,139.2549,0.7963,1.2857,0.7778,0.9115
10,421,78.6690,25.1083,21.3488,45.0201,0.8548,1.1761,0.8503,0.9202
11,463,83.9411,25.8058,22.8441,161.6617,0.8257,1.1297,0.8852,0.9232
12,515,96.8112,32.2957,20.3036,177.1143,0.6905,1.5906,0.6287,0.8941
13,517,89.1543,27.6592,23.7992,175.5821,0.8174,1.1622,0.8604,0.9054
14,396,77.2548,24.5673,20.5233,6.7823,0.8338,1.1970,0.8354,0.9263
15,460,84.9117,28.0305,20.8948,167.2824,0.8017,1.3415,0.7454,0.9118
16,647,97.1543,32.2786,25.5211,176.0396,0.8614,1.2648,0.7907,0.9390
17,533,92.4264,30.6135,22.1679,129.4112,0.7841,1.3810,0.7241,0.9182
18,385,74.0833,25.0354,19.5801,29.5651,0.8815,1.2786,0.7821,0.9333
19,377,74.1838,23.2833,20.6161,123.7022,0.8609,1.1294,0.8854,0.9355
20,463,80.4264,24.8343,23.7378,33.3717,0.8995,1.0462,0.9558,0.9411
21,437,80.9117,25.2226,22.0598,29.4609,0.8388,1.1434,0.8746,0.9190
22,449,82.1838,25.9028,22.0704,60.8510,0.8354,1.1736,0.8520,0.9413
23,405,77.6985,24.1898,21.3174,178.2351,0.8430,1.1347,0.8813,0.9463
24,412,74.1838,23.5162,22.3069,148.4093,0.9408,1.0542,0.9486,0.9526
25,358,70.5269,22.3321,20.4109,86.7396,0.9044,1.0941,0.9140,0.9446
26,689,112.7107,32.8461,26.7082,177.3241,0.6816,1.2298,0.8131,0.8694
27,955,119.2965,41.6047,29.2261,144.5625,0.8433,1.4235,0.7025,0.9404
28,328,69.8406,23.3285,17.9018,24.8792,0.8450,1.3031,0.7674,0.9226
29,443,94.9117,28.1758,20.0188,19.5056,0.6180,1.4075,0.7105,0.8288
30,431,77.5980,24.9651,21.9814,25.1818,0.8995,1.1357,0.8805,0.9390
31,440,77.8406,23.8883,23.4519,155.5015,0.9125,1.0186,0.9817,0.9382
32,433,78.0833,24.9422,22.1036,9.0614,0.8924,1.1284,0.8862,0.9413
33,665,105.4975,32.4714,26.0754,159.8518,0.7508,1.2453,0.8030,0.9110
34,473,86.4264,27.1904,22.1491,102.8295,0.7958,1.2276,0.8146,0.9158
35,354,73.6985,25.4331,17.7220,2.3424,0.8190,1.4351,0.6968,0.9478
36,1093,138.3675,45.9249,30.3028,22.6223,0.7174,1.5155,0.6598,0.9078
37,196,75.2548,17.0948,14.5983,32.3652,0.4349,1.1710,0.8540,0.6633
38,122,49.1127,17.5906,8.8306,154.0438,0.6356,1.9920,0.5020,0.7771
