 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,491,81.0122,25.5742,24.4450,25.1788,0.9401,1.0462,0.9558,0.9599
2,448,79.3553,25.9465,21.9841,6.4816,0.8940,1.1802,0.8473,0.9593
3,403,75.0122,23.9124,21.4581,157.1391,0.9000,1.1144,0.8974,0.9361
4,332,69.2548,23.5825,17.9250,34.3845,0.8699,1.3156,0.7601,0.9261
5,398,73.0122,23.3402,21.7114,68.6564,0.9382,1.0750,0.9302,0.9465
6,452,83.3970,25.3951,22.6621,46.1893,0.8167,1.1206,0.8924,0.9141
7,353,75.1127,26.0559,17.2496,12.9656,0.7862,1.5105,0.6620,0.9229
8,547,92.5685,28.6053,24.3473,106.8950,0.8022,1.1749,0.8511,0.9193
9,380,75.8406,25.6002,18.8995,22.6965,0.8302,1.3545,0.7383,0.9212
10,448,78.6690,24.6789,23.1133,17.3683,0.9097,1.0677,0.9366,0.9451
11,536,88.8112,28.6130,23.8513,14.9699,0.8540,1.1996,0.8336,0.9297
12,440,77.2548,23.6906,23.6476,4.9321,0.9264,1.0018,0.9982,0.9462
13,365,71.0122,23.2257,20.0094,172.4664,0.9096,1.1607,0.8615,0.9371
14,432,77.5980,24.4410,22.5048,175.3595,0.9016,1.0860,0.9208,0.9453
15,476,82.0833,25.3216,23.9346,11.0627,0.8878,1.0580,0.9452,0.9333
16,440,77.8406,24.2252,23.1257,7.4957,0.9125,1.0475,0.9546,0.9432
17,346,69.0122,21.6076,20.3882,169.5401,0.9129,1.0598,0.9436,0.9339
18,481,82.0833,25.0530,24.4453,95.8168,0.8971,1.0249,0.9757,0.9358
19,451,79.3553,25.2169,22.7717,67.4746,0.9000,1.1074,0.9030,0.9485
20,407,74.4264,24.3370,21.2930,1.6954,0.9233,1.1430,0.8749,0.9454
21,470,79.8406,25.1695,23.7757,10.4202,0.9265,1.0586,0.9446,0.9485
22,314,67.9411,23.9216,16.7128,103.0250,0.8548,1.4313,0.6987,0.9331
23,477,83.3553,26.2275,23.1564,121.1283,0.8627,1.1326,0.8829,0.9502
24,469,81.2548,25.6099,23.3171,13.0602,0.8927,1.0983,0.9105,0.9333
25,436,78.4264,24.7747,22.4073,160.2250,0.8908,1.1057,0.9044,0.9366
26,286,73.5980,24.8280,14.6668,73.7095,0.6635,1.6928,0.5907,0.8640
27,539,86.0833,26.7402,25.6646,134.4775,0.9140,1.0419,0.9598,0.9464
28,405,75.2548,23.0402,22.3810,1.6412,0.8987,1.0295,0.9714,0.9353
29,305,66.2843,20.9496,18.5367,42.5261,0.8723,1.1302,0.8848,0.9487
30,470,80.1838,26.8320,22.3026,11.4567,0.9186,1.2031,0.8312,0.9563
31,463,80.4264,24.7202,23.8473,15.4358,0.8995,1.0366,0.9647,0.9411
32,1802,181.3381,48.6899,47.1222,179.6316,0.6886,1.0333,0.9678,0.8866
33,449,80.0833,25.4610,22.4534,1.9384,0.8798,1.1339,0.8819,0.9383
34,519,83.8406,25.8511,25.5622,10.3192,0.9278,1.0113,0.9888,0.9549
35,477,79.8406,25.5736,23.7485,179.6232,0.9403,1.0769,0.9286,0.9530
36,511,83.4975,25.9194,25.1019,23.3173,0.9211,1.0326,0.9685,0.9472
37,520,84.6690,26.8065,24.6987,8.8399,0.9115,1.0853,0.9214,0.9455
38,411,75.2548,24.0768,21.7347,7.5900,0.9120,1.1078,0.9027,0.9437
39,462,80.4264,25.6338,22.9477,173.8433,0.8975,1.1171,0.8952,0.9419
40,494,84.9117,26.6673,23.5862,4.9832,0.8610,1.1306,0.8845,0.9294
41,457,78.6690,25.6796,22.6588,12.2293,0.9279,1.1333,0.8824,0.9452
42,489,86.6690,27.3429,22.7706,29.3997,0.8181,1.2008,0.8328,0.9209
43,445,78.6690,24.8957,22.7586,144.8980,0.9036,1.0939,0.9142,0.9388
44,133,54.7696,14.0160,12.0820,26.3033,0.5572,1.1601,0.8620,0.7308
45,462,87.0122,25.0258,23.5052,27.2930,0.7668,1.0647,0.9392,0.9121
46,416,76.4264,23.4284,22.6080,110.9970,0.8950,1.0363,0.9650,0.9433
47,503,91.4975,26.5816,24.0933,136.6332,0.7550,1.1033,0.9064,0.8918
48,372,72.4264,22.3685,21.1746,74.2904,0.8912,1.0564,0.9466,0.9288
49,429,77.3553,24.1181,22.6477,53.8074,0.9009,1.0649,0.9390,0.9460
50,551,91.2548,29.5255,23.7610,8.4141,0.8315,1.2426,0.8048,0.9276
51,459,82.8701,26.7308,21.8630,13.0097,0.8399,1.2227,0.8179,0.9523
52,401,73.5980,22.9822,22.2159,76.9157,0.9303,1.0345,0.9667,0.9469
53,513,98.5685,30.0224,21.7562,107.5037,0.6635,1.3799,0.7247,0.8658
54,489,83.0122,25.8358,24.0989,144.6477,0.8917,1.0721,0.9328,0.9532
55,452,78.6690,24.3526,23.6322,49.4909,0.9178,1.0305,0.9704,0.9456
56,573,93.9828,27.3509,26.6744,175.4459,0.8152,1.0254,0.9753,0.9066
57,465,82.4264,24.9423,23.7371,174.3121,0.8601,1.0508,0.9517,0.9347
58,498,82.6690,25.5253,24.8410,165.2017,0.9157,1.0275,0.9732,0.9477
59,714,102.4264,30.7325,29.5808,102.6214,0.8552,1.0389,0.9625,0.9629
60,500,82.7696,26.2586,24.2442,16.7017,0.9171,1.0831,0.9233,0.9615
61,527,92.5685,28.4288,23.6027,1.3067,0.7728,1.2045,0.8302,0.8940
62,291,67.3970,25.7163,14.4077,50.1099,0.8050,1.7849,0.5603,0.9037
63,508,83.2548,25.9630,24.9126,108.5865,0.9210,1.0422,0.9595,0.9495
64,1433,159.4386,46.0981,39.5798,60.6425,0.7084,1.1647,0.8586,0.8953
65,460,79.8406,24.7293,23.6840,159.3035,0.9068,1.0441,0.9577,0.9378
66,504,83.2548,26.1233,24.5647,7.4272,0.9137,1.0634,0.9403,0.9447
67,429,78.1838,23.9465,22.8100,51.8830,0.8819,1.0498,0.9525,0.9439
68,395,73.9411,23.6171,21.2952,7.4227,0.9079,1.1090,0.9017,0.9541
69,324,65.9411,21.0312,19.6151,80.4273,0.9364,1.0722,0.9327,0.9488
70,462,83.8406,27.0438,21.7512,113.6341,0.8259,1.2433,0.8043,0.9203
71,498,82.6690,25.2509,25.1109,132.2416,0.9157,1.0056,0.9945,0.9504
72,461,79.3553,25.8699,22.6890,177.2467,0.9199,1.1402,0.8770,0.9564
73,389,77.4975,25.7676,19.2214,56.5089,0.8139,1.3406,0.7460,0.9207
74,460,79.8406,24.7186,23.6943,109.6262,0.9068,1.0432,0.9586,0.9407
75,341,71.2548,24.4879,17.7302,58.7079,0.8440,1.3811,0.7240,0.9179
76,937,120.5685,43.0649,27.7030,97.3034,0.8100,1.5545,0.6433,0.9436
77,484,82.9117,25.7472,23.9346,111.7137,0.8848,1.0757,0.9296,0.9299
78,506,85.2548,26.1012,24.6831,62.0825,0.8748,1.0575,0.9457,0.9370
79,531,87.9828,26.7577,25.2671,92.6455,0.8620,1.0590,0.9443,0.9283
80,469,83.0122,25.4484,23.4651,125.4501,0.8553,1.0845,0.9221,0.9306
81,462,79.0122,24.4849,24.0245,127.1245,0.9300,1.0192,0.9812,0.9526
82,454,79.0122,24.6836,23.4184,31.7139,0.9139,1.0540,0.9487,0.9458
83,492,81.2548,26.0138,24.0809,170.3974,0.9364,1.0803,0.9257,0.9507
84,445,80.1838,25.2870,22.4064,53.8055,0.8698,1.1286,0.8861,0.9418
85,393,73.3553,22.7732,21.9725,126.4510,0.9178,1.0364,0.9648,0.9470
86,462,77.8406,24.3444,24.1631,53.4727,0.9582,1.0075,0.9926,0.9595
87,438,77.8406,24.3580,22.8951,109.6336,0.9084,1.0639,0.9399,0.9399
88,420,75.5980,23.7972,22.4716,155.6321,0.9235,1.0590,0.9443,0.9459
89,409,74.7696,23.1010,22.5425,79.4680,0.9194,1.0248,0.9758,0.9479
90,577,88.6690,27.4527,26.7609,118.2346,0.9222,1.0259,0.9748,0.9529
91,396,74.4264,22.7733,22.1401,67.1094,0.8984,1.0286,0.9722,0.9351
92,500,88.8112,28.0811,22.6708,100.1436,0.7966,1.2386,0.8073,0.9158
93,440,77.0122,24.0343,23.3094,98.7873,0.9323,1.0311,0.9698,0.9503
94,546,85.8406,28.2447,24.6131,4.5989,0.9311,1.1476,0.8714,0.9545
95,405,74.4264,22.9546,22.4645,86.8350,0.9188,1.0218,0.9786,0.9430
96,423,79.8406,24.5011,21.9819,76.4601,0.8339,1.1146,0.8972,0.9048
97,482,81.9411,27.0390,22.6969,6.5426,0.9021,1.1913,0.8394,0.9545
98,427,83.1543,28.1395,19.3207,96.8376,0.7760,1.4564,0.6866,0.9066
99,486,81.2548,25.2276,24.5285,25.2868,0.9250,1.0285,0.9723,0.9492
100,536,85.4975,27.3177,24.9822,31.5169,0.9214,1.0935,0.9145,0.9445
101,528,86.3259,28.1098,23.9159,163.0995,0.8904,1.1754,0.8508,0.9462
102,340,70.1838,23.1655,18.6874,109.8066,0.8674,1.2396,0.8067,0.9290
103,491,83.2548,25.8153,24.2167,159.8703,0.8902,1.0660,0.9381,0.9326
104,518,84.6690,26.6118,24.7837,82.2970,0.9080,1.0738,0.9313,0.9401
105,483,80.4264,26.7096,23.0245,176.6910,0.9383,1.1601,0.8620,0.9555
106,315,66.7696,21.7318,18.4555,165.7085,0.8879,1.1775,0.8492,0.9265
107,471,80.4264,25.0214,23.9673,10.9003,0.9150,1.0440,0.9579,0.9458
108,556,93.4975,29.7544,23.7922,21.5793,0.7993,1.2506,0.7996,0.9122
109,557,97.9828,27.6893,25.6126,61.7706,0.7291,1.0811,0.9250,0.8806
110,522,85.8406,27.5815,24.0970,10.8053,0.8902,1.1446,0.8737,0.9500
111,539,90.3259,27.0127,25.4057,80.3095,0.8302,1.0633,0.9405,0.9128
112,549,93.8406,27.2043,25.6948,50.2477,0.7834,1.0587,0.9445,0.9059
113,460,89.9828,27.7244,21.1254,15.0205,0.7139,1.3124,0.7620,0.8614
114,514,88.6690,26.9676,24.2678,16.4425,0.8215,1.1112,0.8999,0.9154
115,518,82.4264,26.1706,25.2015,48.8649,0.9581,1.0385,0.9630,0.9637
116,477,81.2548,24.7817,24.5074,23.6519,0.9079,1.0112,0.9889,0.9418
117,156,55.2132,18.9560,10.4782,11.5155,0.6431,1.8091,0.5528,0.8643
118,500,86.6690,27.2435,23.3677,4.0591,0.8365,1.1659,0.8577,0.9234
119,547,85.8406,26.7306,26.0548,159.3153,0.9328,1.0259,0.9747,0.9580
120,445,82.1838,27.3263,20.7343,179.3923,0.8279,1.3179,0.7588,0.9300
121,482,81.2548,26.1823,23.4395,11.5248,0.9174,1.1170,0.8952,0.9442
122,452,80.4264,26.5709,21.6592,178.7202,0.8781,1.2268,0.8151,0.9329
123,527,85.2548,27.6403,24.2761,0.5059,0.9111,1.1386,0.8783,0.9495
124,432,79.6985,25.5009,21.5694,175.2278,0.8547,1.1823,0.8458,0.9526
125,482,82.6690,26.1640,23.4560,3.8028,0.8863,1.1154,0.8965,0.9405
126,450,82.5269,27.9166,20.5239,2.5407,0.8303,1.3602,0.7352,0.9615
127,533,88.3259,26.8343,25.2899,53.0068,0.8585,1.0611,0.9424,0.9450
128,505,84.9117,26.2892,24.4582,61.0141,0.8802,1.0749,0.9304,0.9326
129,513,85.4975,26.1583,24.9699,32.4309,0.8819,1.0476,0.9546,0.9370
130,453,86.7696,25.6559,22.4813,176.7018,0.7561,1.1412,0.8763,0.9161
131,811,111.8406,34.4884,29.9404,157.2289,0.8148,1.1519,0.8681,0.9508
132,914,119.6396,40.9115,28.4453,86.0395,0.8024,1.4383,0.6953,0.9341
133,500,81.8406,26.3485,24.1615,88.0382,0.9381,1.0905,0.9170,0.9533
134,480,80.4264,25.3790,24.0812,18.1960,0.9325,1.0539,0.9489,0.9552
135,553,88.9117,28.1065,25.0512,0.8515,0.8791,1.1220,0.8913,0.9437
136,440,78.4264,23.9927,23.3499,52.2824,0.8990,1.0275,0.9732,0.9412
137,390,74.4264,22.6744,21.8998,75.1582,0.8847,1.0354,0.9658,0.9353
138,530,86.0833,26.5411,25.4253,39.8709,0.8988,1.0439,0.9580,0.9414
139,522,86.6690,26.4615,25.1169,25.7658,0.8733,1.0535,0.9492,0.9380
140,476,81.0122,25.1205,24.1262,51.6694,0.9114,1.0412,0.9604,0.9463
141,475,82.4264,28.1396,21.4924,9.5298,0.8786,1.3093,0.7638,0.9378
142,518,88.9117,30.8938,21.3486,174.1207,0.8234,1.4471,0.6910,0.9275
143,450,82.9117,26.5922,21.5461,163.4990,0.8226,1.2342,0.8102,0.9119
144,584,90.9117,29.3496,25.3350,1.4017,0.8879,1.1585,0.8632,0.9419
145,502,85.4975,26.9630,23.7053,12.5952,0.8630,1.1374,0.8792,0.9357
146,444,79.0122,26.6594,21.2052,7.6239,0.8937,1.2572,0.7954,0.9437
147,133,67.6985,19.3938,8.7317,57.8950,0.3647,2.2211,0.4502,0.5553
148,94,49.4558,18.3970,6.5056,95.4832,0.4830,2.8279,0.3536,0.7148
