 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,472,104.5685,30.5231,19.6890,120.2556,0.5424,1.5503,0.6451,0.8295
2,129,78.6690,17.2228,9.5367,21.9097,0.2619,1.8059,0.5537,0.4343
3,109,68.4264,19.8041,7.0078,11.4512,0.2925,2.8260,0.3539,0.4910
4,423,80.6690,23.7065,22.7187,172.1549,0.8168,1.0435,0.9583,0.9246
5,586,91.6396,30.7572,24.2584,49.3866,0.8769,1.2679,0.7887,0.9376
6,938,127.8823,40.2082,29.7029,76.6927,0.7208,1.3537,0.7387,0.8955
7,390,73.8406,23.7942,20.8691,5.1302,0.8988,1.1402,0.8771,0.9275
8,84,53.3553,16.6009,6.4426,1.5055,0.3708,2.5767,0.3881,0.5600
9,363,74.6690,22.1592,20.8575,88.1459,0.8182,1.0624,0.9413,0.9007
10,409,77.8406,25.5792,20.3585,9.0190,0.8482,1.2564,0.7959,0.9181
11,154,71.2548,16.7313,11.7193,37.2273,0.3812,1.4277,0.7004,0.5912
12,634,104.2254,33.3588,24.1985,175.9240,0.7334,1.3785,0.7254,0.9077
13,1094,140.6102,44.7165,31.1501,158.1199,0.6953,1.4355,0.6966,0.8876
14,486,87.1543,29.1779,21.2077,18.7175,0.8040,1.3758,0.7268,0.9196
15,110,61.3553,18.3492,7.6328,6.0691,0.3672,2.4040,0.4160,0.5612
16,416,75.5980,24.5017,21.6176,96.6012,0.9147,1.1334,0.8823,0.9498
17,448,83.2548,27.6393,20.6377,175.9260,0.8122,1.3393,0.7467,0.9152
18,537,99.3970,30.1993,22.6405,170.9771,0.6830,1.3339,0.7497,0.8613
19,270,61.4558,21.6910,15.8488,1.6550,0.8984,1.3686,0.7307,0.9643
20,367,74.9117,27.2726,17.1336,124.0713,0.8218,1.5918,0.6282,0.9303
21,1027,132.9533,41.9143,31.1974,131.2145,0.7301,1.3435,0.7443,0.8903
22,120,60.1838,18.2389,8.3771,2.5782,0.4163,2.1772,0.4593,0.6076
23,573,95.1543,28.5392,25.5636,69.0872,0.7953,1.1164,0.8957,0.9242
24,913,187.2376,45.0391,25.8102,167.4429,0.3273,1.7450,0.5731,0.6788
25,391,78.3259,24.7435,20.1199,15.8363,0.8009,1.2298,0.8131,0.9082
26,1014,127.5391,43.0497,29.9901,142.9817,0.7834,1.4355,0.6966,0.9172
27,534,97.0538,33.2527,20.4467,178.4259,0.7124,1.6263,0.6149,0.9013
28,436,85.7401,26.4893,20.9569,174.5983,0.7453,1.2640,0.7911,0.9036
29,336,75.4975,25.1819,16.9887,166.1075,0.7408,1.4823,0.6746,0.8960
30,96,48.8701,16.3728,7.4655,17.0011,0.5051,2.1931,0.4560,0.6957
31,430,78.1838,25.0005,21.8993,158.9914,0.8840,1.1416,0.8760,0.9524
32,439,79.7401,25.2424,22.1434,166.0437,0.8676,1.1400,0.8772,0.9203
33,138,70.6690,15.2146,11.5486,4.6569,0.3472,1.3174,0.7590,0.5520
34,374,74.3259,25.2194,18.8819,155.6722,0.8507,1.3356,0.7487,0.9292
35,430,80.5269,24.9946,21.9044,173.3660,0.8333,1.1411,0.8764,0.9399
36,413,80.9117,25.4398,20.6703,140.2965,0.7928,1.2307,0.8125,0.9168
37,385,73.5980,23.8807,20.5269,174.8371,0.8932,1.1634,0.8596,0.9345
38,419,78.7696,25.8830,20.6115,167.4384,0.8486,1.2558,0.7963,0.9405
39,510,95.9828,26.6884,24.3309,15.9266,0.6957,1.0969,0.9117,0.8862
40,102,63.0122,17.7330,7.3237,5.4306,0.3228,2.4213,0.4130,0.5100
41,399,75.0122,23.0585,22.0319,162.8547,0.8911,1.0466,0.9555,0.9322
42,981,127.7817,44.8298,27.8620,60.3464,0.7550,1.6090,0.6215,0.9134
43,447,81.8406,26.3215,21.6226,172.1887,0.8386,1.2173,0.8215,0.9236
44,309,66.2843,23.5992,16.6714,171.2305,0.8838,1.4156,0.7064,0.9508
45,290,66.4264,20.8263,17.7295,20.3948,0.8259,1.1747,0.8513,0.9048
46,448,77.8406,25.6756,22.2161,84.1259,0.9291,1.1557,0.8653,0.9481
47,394,75.8406,23.0719,21.7432,68.0041,0.8608,1.0611,0.9424,0.9238
48,436,80.7696,24.8683,22.3229,0.9384,0.8398,1.1140,0.8976,0.9346
49,403,75.8406,24.1666,21.2324,179.7984,0.8805,1.1382,0.8786,0.9372
50,399,76.2843,27.1938,18.6816,1.7962,0.8616,1.4556,0.6870,0.9466
51,618,98.4264,28.8499,27.2743,174.4727,0.8016,1.0578,0.9454,0.9055
52,408,80.1838,23.6900,21.9283,17.7175,0.7974,1.0803,0.9256,0.9097
53,732,107.1543,36.5975,25.4665,154.0888,0.8011,1.4371,0.6959,0.9156
54,426,77.5980,24.1111,22.4958,147.3965,0.8890,1.0718,0.9330,0.9373
55,410,75.9411,25.5387,20.4407,3.3026,0.8934,1.2494,0.8004,0.9502
56,558,87.2548,28.1647,25.2255,117.6192,0.9210,1.1165,0.8956,0.9538
57,393,77.3553,25.8661,19.3451,164.4402,0.8253,1.3371,0.7479,0.9258
58,329,73.0122,25.1753,16.6392,118.2237,0.7756,1.5130,0.6609,0.8904
59,439,78.4264,24.5328,22.7839,55.5348,0.8969,1.0768,0.9287,0.9390
60,367,73.8406,24.1122,19.3793,117.2603,0.8458,1.2442,0.8037,0.9244
61,471,84.7696,28.0793,21.3572,76.2614,0.8237,1.3147,0.7606,0.9506
62,927,126.6102,42.6068,27.7020,59.3722,0.7267,1.5380,0.6502,0.8774
63,442,79.0122,24.3427,23.1187,80.9054,0.8897,1.0529,0.9497,0.9455
64,395,75.1127,23.8814,21.0595,94.3486,0.8798,1.1340,0.8818,0.9564
65,553,92.9117,29.4887,23.8770,74.8650,0.8050,1.2350,0.8097,0.9073
66,820,116.8112,35.2312,29.6345,30.3463,0.7552,1.1889,0.8411,0.8996
67,561,95.4975,32.6332,21.8884,106.5162,0.7730,1.4909,0.6707,0.9122
68,376,74.2843,22.9299,20.8783,13.3145,0.8563,1.0983,0.9105,0.9567
69,411,75.5980,23.2667,22.4914,69.7441,0.9037,1.0345,0.9667,0.9394
70,849,121.2965,37.5336,28.8003,94.2698,0.7251,1.3032,0.7673,0.9218
71,423,79.3553,23.8964,22.5381,9.2365,0.8441,1.0603,0.9432,0.9297
72,443,77.5980,24.1201,23.3848,169.3592,0.9245,1.0314,0.9695,0.9599
73,379,82.8112,24.8990,19.3806,70.7329,0.6945,1.2847,0.7784,0.8507
74,541,96.1249,29.5861,23.2820,152.6770,0.7358,1.2708,0.7869,0.8913
75,568,89.2548,27.7622,26.0499,95.3797,0.8960,1.0657,0.9383,0.9459
76,529,92.3259,28.5808,23.5663,136.4398,0.7799,1.2128,0.8245,0.9160
77,447,78.7696,24.3326,23.3899,14.9781,0.9053,1.0403,0.9613,0.9470
78,553,91.4975,28.0176,25.1306,111.1406,0.8301,1.1149,0.8970,0.9247
79,437,78.9117,25.2071,22.0733,165.6168,0.8819,1.1420,0.8757,0.9358
80,406,78.4264,24.0309,21.5112,77.3481,0.8295,1.1171,0.8951,0.9269
81,621,111.8823,34.8605,22.6813,61.6373,0.6234,1.5370,0.6506,0.8679
82,378,74.6690,23.9317,20.1108,116.2733,0.8520,1.1900,0.8403,0.9231
83,457,82.0833,27.3376,21.2846,21.6749,0.8523,1.2844,0.7786,0.9394
84,886,120.8112,37.7453,29.8869,114.4675,0.7628,1.2629,0.7918,0.9268
85,393,73.9411,22.7572,21.9879,104.0930,0.9033,1.0350,0.9662,0.9481
86,424,76.4264,23.6650,22.8124,128.8426,0.9122,1.0374,0.9640,0.9381
87,353,71.9411,21.7308,20.6828,77.9440,0.8571,1.0507,0.9518,0.9229
88,369,74.2843,24.4344,19.2280,161.0358,0.8403,1.2708,0.7869,0.9560
89,534,96.3259,33.5180,20.2849,174.1845,0.7232,1.6524,0.6052,0.8937
90,420,75.5980,23.3878,22.8650,42.9496,0.9235,1.0229,0.9776,0.9449
91,391,73.5980,23.2782,21.3864,174.6736,0.9071,1.0885,0.9187,0.9399
92,861,117.8823,40.8953,26.8065,120.6244,0.7786,1.5256,0.6555,0.9092
93,1197,152.8528,47.6485,31.9856,145.5984,0.6438,1.4897,0.6713,0.8850
94,381,74.2843,24.4153,19.8689,96.7359,0.8676,1.2288,0.8138,0.9561
95,168,94.2254,18.6025,11.4987,141.1258,0.2378,1.6178,0.6181,0.4211
96,532,92.1838,29.8518,22.6908,82.6982,0.7867,1.3156,0.7601,0.9236
