 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,465,79.2548,25.2240,23.4719,50.5129,0.9303,1.0746,0.9305,0.9499
2,416,78.4264,25.9539,20.4080,2.7452,0.8499,1.2717,0.7863,0.9327
3,94,67.0122,18.2533,6.5569,5.8903,0.2630,2.7839,0.3592,0.4712
4,532,87.2548,27.8718,24.3029,81.0989,0.8781,1.1469,0.8720,0.9333
5,387,73.0122,23.1500,21.2849,38.2826,0.9123,1.0876,0.9194,0.9405
6,148,73.7401,21.2248,8.8783,176.3518,0.3420,2.3907,0.4183,0.5401
7,550,99.1543,30.5008,22.9594,8.7147,0.7030,1.3285,0.7527,0.8958
8,435,88.0833,24.9697,22.1813,152.8300,0.7046,1.1257,0.8883,0.8878
9,530,87.2548,26.4088,25.5528,64.9036,0.8748,1.0335,0.9676,0.9331
10,490,83.2548,27.8720,22.3840,3.8288,0.8884,1.2452,0.8031,0.9441
11,373,73.9411,23.7065,20.0333,85.3376,0.8573,1.1834,0.8451,0.9244
12,467,82.0833,27.4128,21.6907,166.1382,0.8710,1.2638,0.7913,0.9340
13,99,46.3848,15.3810,8.1952,15.2993,0.5782,1.8768,0.5328,0.8182
14,441,84.0833,24.5902,22.8343,172.6788,0.7838,1.0769,0.9286,0.9000
15,360,73.3553,23.9559,19.1338,8.9882,0.8407,1.2520,0.7987,0.9207
16,464,79.0122,24.9495,23.6792,179.4673,0.9340,1.0536,0.9491,0.9528
17,432,79.2548,25.4367,21.6238,169.1109,0.8643,1.1763,0.8501,0.9280
18,535,94.3259,29.1417,23.3749,159.6017,0.7556,1.2467,0.8021,0.8977
19,536,92.6690,28.4283,24.0063,104.9293,0.7843,1.1842,0.8445,0.8963
20,369,71.5980,22.3374,21.0331,77.6695,0.9046,1.0620,0.9416,0.9377
21,513,83.8406,26.4441,24.7001,15.5474,0.9171,1.0706,0.9340,0.9456
22,292,63.9411,19.5672,19.0005,40.5169,0.8975,1.0298,0.9710,0.9299
23,466,80.4264,25.6447,23.1366,5.9170,0.9053,1.1084,0.9022,0.9452
24,400,73.5980,24.2255,21.0231,5.5450,0.9280,1.1523,0.8678,0.9512
25,389,74.4264,25.9808,19.0637,163.0032,0.8825,1.3628,0.7338,0.9373
26,396,76.7696,24.0312,20.9812,167.6037,0.8444,1.1454,0.8731,0.9209
27,476,82.4264,25.1113,24.1350,40.3758,0.8804,1.0405,0.9611,0.9361
28,473,81.8406,25.7127,23.4220,16.5219,0.8874,1.0978,0.9109,0.9479
29,572,88.6690,28.6553,25.4157,32.3672,0.9142,1.1275,0.8869,0.9486
30,439,76.7696,24.1063,23.1870,51.1634,0.9360,1.0396,0.9619,0.9606
31,477,80.4264,25.7432,23.5921,22.3501,0.9267,1.0912,0.9164,0.9521
32,473,81.0122,26.0911,23.0823,13.5644,0.9057,1.1304,0.8847,0.9451
33,402,75.0122,23.2456,22.0189,178.6669,0.8978,1.0557,0.9472,0.9382
34,342,69.4558,23.1794,18.7860,4.7589,0.8909,1.2339,0.8105,0.9647
35,550,87.4975,28.9759,24.1678,174.5571,0.9028,1.1989,0.8341,0.9516
36,566,94.0833,31.5989,22.8063,1.8868,0.8035,1.3855,0.7217,0.9302
37,490,86.3259,26.7938,23.2847,19.0326,0.8263,1.1507,0.8690,0.9150
38,539,86.6690,27.7379,24.7414,56.2054,0.9017,1.1211,0.8920,0.9448
39,399,73.5980,23.9881,21.1781,2.5426,0.9257,1.1327,0.8829,0.9500
40,535,90.9117,28.8513,23.6101,20.1920,0.8134,1.2220,0.8183,0.9099
41,538,86.9117,27.3712,25.0264,61.5452,0.8950,1.0937,0.9143,0.9447
42,526,88.0833,27.1742,24.6456,166.8050,0.8519,1.1026,0.9069,0.9435
43,445,78.4264,24.9594,22.7005,0.7192,0.9092,1.0995,0.9095,0.9438
44,478,80.4264,25.4488,23.9150,53.1746,0.9286,1.0641,0.9397,0.9550
45,450,81.1127,28.1103,20.3825,177.4514,0.8595,1.3791,0.7251,0.9544
46,413,75.8406,23.5328,22.3453,84.7286,0.9023,1.0531,0.9495,0.9354
47,468,82.0833,26.6649,22.3468,15.1417,0.8729,1.1932,0.8381,0.9313
48,394,76.8701,24.5209,20.4583,179.3822,0.8379,1.1986,0.8343,0.9505
49,483,82.6690,25.3229,24.2853,52.2219,0.8881,1.0427,0.9590,0.9333
50,518,89.8406,28.2055,23.3833,85.8297,0.8065,1.2062,0.8290,0.9072
51,119,61.5980,19.8637,7.6278,177.9794,0.3941,2.6041,0.3840,0.6118
52,137,67.0122,21.0581,8.2835,12.4735,0.3834,2.5422,0.3934,0.5931
53,482,82.0833,25.6525,23.9237,47.8225,0.8990,1.0723,0.9326,0.9451
54,426,76.4264,23.7985,22.7913,109.2395,0.9165,1.0442,0.9577,0.9425
55,451,81.4975,26.3710,21.7751,163.7724,0.8533,1.2111,0.8257,0.9280
56,420,75.9411,23.6206,22.6396,31.5650,0.9152,1.0433,0.9585,0.9545
