 ,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,118,82.6690,17.9208,8.3837,155.3529,0.2170,2.1376,0.4678,0.3894
2,553,94.6690,28.4170,24.7775,135.7841,0.7754,1.1469,0.8719,0.8927
3,483,82.1838,25.7597,23.8735,53.7166,0.8986,1.0790,0.9268,0.9424
4,404,73.2548,23.2607,22.1141,159.5028,0.9461,1.0518,0.9507,0.9506
5,395,76.7696,26.7705,18.7867,95.1297,0.8422,1.4250,0.7018,0.9394
6,372,69.9411,22.3093,21.2308,35.9537,0.9556,1.0508,0.9517,0.9588
7,481,82.9117,25.8234,23.7160,175.4350,0.8793,1.0889,0.9184,0.9277
8,468,81.0122,26.2723,22.6807,11.2589,0.8961,1.1584,0.8633,0.9426
9,464,80.7696,25.5918,23.0849,151.2763,0.8938,1.1086,0.9020,0.9469
10,385,73.0122,22.4730,21.8127,166.8932,0.9076,1.0303,0.9706,0.9413
11,459,81.0122,24.6820,23.6778,171.2143,0.8789,1.0424,0.9593,0.9406
12,463,79.5980,25.9471,22.7197,19.3902,0.9183,1.1421,0.8756,0.9517
13,434,77.0122,26.3256,20.9905,6.5364,0.9196,1.2542,0.7973,0.9518
14,439,78.1838,24.4738,22.8388,9.2803,0.9025,1.0716,0.9332,0.9451
15,394,73.3553,22.6327,22.1652,109.4476,0.9201,1.0211,0.9793,0.9517
16,480,87.5980,27.4470,22.2667,175.3019,0.7861,1.2326,0.8113,0.9065
17,461,79.0122,25.5097,23.0094,11.5604,0.9279,1.1087,0.9020,0.9505
18,441,77.2548,24.8935,22.5560,163.3042,0.9285,1.1036,0.9061,0.9494
19,337,73.2132,27.0512,15.8618,4.4204,0.7901,1.7054,0.5864,0.9309
20,438,77.0122,24.6053,22.6650,7.5819,0.9280,1.0856,0.9211,0.9522
21,385,73.6985,23.7276,20.6594,175.5638,0.8907,1.1485,0.8707,0.9553
22,438,78.6690,26.6666,20.9130,0.7230,0.8894,1.2751,0.7842,0.9369
23,487,82.4264,25.1186,24.6856,23.2757,0.9008,1.0175,0.9828,0.9402
24,517,85.7401,26.6166,24.7313,131.5139,0.8838,1.0762,0.9292,0.9299
25,395,77.6396,26.7014,18.8353,133.3840,0.8235,1.4176,0.7054,0.9197
26,446,78.6690,24.2018,23.4638,150.8449,0.9056,1.0315,0.9695,0.9360
27,458,82.7696,25.4537,22.9100,157.3616,0.8401,1.1110,0.9001,0.9356
28,419,86.1249,27.6145,19.3191,141.5504,0.7098,1.4294,0.6996,0.8830
29,119,60.1838,18.7648,8.0744,123.1562,0.4129,2.3240,0.4303,0.6538
30,452,81.1543,26.2649,21.9115,159.0348,0.8624,1.1987,0.8343,0.9310
31,396,84.4264,32.3417,15.5899,3.2284,0.6981,2.0745,0.4820,0.8929
32,464,80.1838,25.7687,22.9264,1.9806,0.9069,1.1240,0.8897,0.9460
33,512,86.6690,27.0162,24.1300,9.1740,0.8565,1.1196,0.8932,0.9259
34,478,81.0122,25.5084,23.8592,1.9593,0.9152,1.0691,0.9353,0.9494
35,339,72.7696,24.1609,17.8647,70.6598,0.8045,1.3524,0.7394,0.9113
36,401,78.1838,25.0987,20.3424,81.8227,0.8244,1.2338,0.8105,0.9134
37,483,83.4975,25.8507,23.7895,78.3954,0.8706,1.0866,0.9203,0.9306
38,515,90.0833,28.0809,23.3511,34.9967,0.7975,1.2026,0.8316,0.9067
39,457,79.8406,25.5471,22.7764,12.6486,0.9009,1.1216,0.8915,0.9374
40,503,98.5685,28.1563,22.7459,175.1327,0.6506,1.2379,0.8078,0.8755
41,474,82.9117,25.2879,23.8658,155.4215,0.8665,1.0596,0.9438,0.9213
42,448,77.8406,24.7106,23.0837,97.3876,0.9291,1.0705,0.9342,0.9481
43,389,74.3259,25.5404,19.3924,44.3022,0.8849,1.3170,0.7593,0.9362
44,487,85.0122,26.3121,23.5659,169.8878,0.8468,1.1165,0.8956,0.9321
45,497,83.4975,25.8309,24.4978,0.8397,0.8958,1.0544,0.9484,0.9404
46,530,86.9117,27.7670,24.3029,33.4043,0.8817,1.1425,0.8752,0.9431
47,441,77.5980,25.1910,22.2897,155.9473,0.9203,1.1302,0.8848,0.9515
48,383,77.3553,27.0175,18.0494,7.5256,0.8043,1.4969,0.6681,0.9218
49,425,78.1838,24.6202,21.9790,161.1522,0.8737,1.1202,0.8927,0.9300
50,454,88.5685,26.2092,22.0553,138.8235,0.7273,1.1883,0.8415,0.8518
51,541,88.0833,27.5971,24.9600,22.3935,0.8762,1.1057,0.9044,0.9417
52,675,99.4975,32.7264,26.2612,171.6366,0.8568,1.2462,0.8024,0.9408
53,523,88.6690,31.8942,20.8786,7.2160,0.8359,1.5276,0.6546,0.9356
54,403,74.6690,23.6623,21.6849,85.2791,0.9083,1.0912,0.9164,0.9350
55,362,70.7696,23.1336,19.9239,93.3388,0.9083,1.1611,0.8613,0.9464
56,471,81.2548,24.6306,24.3476,79.0341,0.8965,1.0116,0.9885,0.9448
57,458,79.8406,25.8400,22.5675,2.0554,0.9029,1.1450,0.8734,0.9385
58,388,72.7696,23.2959,21.2062,14.8438,0.9208,1.0985,0.9103,0.9498
59,443,79.2548,24.7047,22.8315,155.8828,0.8863,1.0820,0.9242,0.9406
60,408,74.1838,23.2388,22.3540,172.0711,0.9316,1.0396,0.9619,0.9533
61,462,80.6690,24.6739,23.8405,44.8249,0.8922,1.0350,0.9662,0.9324
62,357,69.5980,22.7979,19.9381,174.6897,0.9262,1.1434,0.8746,0.9407
63,404,76.8701,28.0880,18.3134,0.0655,0.8592,1.5337,0.6520,0.9642
64,402,75.0122,22.7234,22.5249,25.6143,0.8978,1.0088,0.9913,0.9327
65,568,95.0122,32.5757,22.2006,9.1778,0.7907,1.4673,0.6815,0.9258
66,371,70.1838,22.2748,21.2065,17.2717,0.9465,1.0504,0.9520,0.9501
67,444,78.4264,24.3212,23.2438,16.1025,0.9071,1.0464,0.9557,0.9487
68,456,81.5980,24.4998,23.6981,6.5090,0.8606,1.0338,0.9673,0.9451
69,118,58.1838,17.5056,8.5825,46.8753,0.4380,2.0397,0.4903,0.6293
70,493,85.3970,25.9490,24.1901,10.0172,0.8495,1.0727,0.9322,0.9172
71,454,87.3970,28.3515,20.3887,39.3750,0.7469,1.3905,0.7191,0.8919
72,438,81.7401,27.1211,20.5625,51.8156,0.8238,1.3190,0.7582,0.9144
73,470,82.0833,25.4741,23.4914,99.2384,0.8766,1.0844,0.9222,0.9409
74,494,82.4264,25.2787,24.8818,41.8271,0.9137,1.0159,0.9843,0.9491
75,444,78.0833,24.1098,23.4476,127.4202,0.9151,1.0282,0.9725,0.9397
76,417,79.8406,24.2108,21.9299,137.8278,0.8220,1.1040,0.9058,0.9075
77,449,79.0122,25.0706,22.8030,179.1059,0.9038,1.0994,0.9096,0.9364
78,524,87.4975,30.7056,21.7282,8.3327,0.8601,1.4132,0.7076,0.9307
79,245,58.8701,18.0596,17.2730,26.7949,0.8884,1.0455,0.9564,0.9280
80,454,78.4264,24.4765,23.6166,108.7311,0.9276,1.0364,0.9649,0.9508
81,541,93.7401,28.9973,23.7547,40.7094,0.7737,1.2207,0.8192,0.8972
82,475,80.6690,25.3041,23.9008,11.1477,0.9173,1.0587,0.9445,0.9443
83,552,89.1543,26.9612,26.0681,132.1767,0.8727,1.0343,0.9669,0.9316
84,443,79.0122,24.3482,23.1658,32.5196,0.8917,1.0510,0.9514,0.9466
85,469,80.4264,24.9611,23.9232,162.0122,0.9111,1.0434,0.9584,0.9446
86,371,73.5980,22.4514,21.0398,76.4494,0.8607,1.0671,0.9371,0.9298
87,431,79.5980,25.3584,21.6404,75.6266,0.8548,1.1718,0.8534,0.9151
88,517,84.6690,26.6645,24.6869,172.6980,0.9063,1.0801,0.9258,0.9486
89,516,84.6690,26.1803,25.0949,47.4854,0.9045,1.0433,0.9585,0.9477
90,493,84.6690,26.8567,23.3725,96.5295,0.8642,1.1491,0.8703,0.9302
91,424,77.2548,23.4387,23.0326,80.9381,0.8927,1.0176,0.9827,0.9391
92,478,82.6690,25.8489,23.5449,84.8785,0.8789,1.0979,0.9109,0.9345
93,462,79.0122,24.3783,24.1295,2.8690,0.9300,1.0103,0.9898,0.9487
94,516,91.4975,28.6323,22.9458,76.8834,0.7745,1.2478,0.8014,0.9181
95,493,81.8406,25.5891,24.5303,45.5349,0.9250,1.0432,0.9586,0.9481
96,484,83.3553,26.5440,23.2161,106.9951,0.8754,1.1433,0.8746,0.9453
97,363,73.9411,24.0503,19.2175,103.5250,0.8343,1.2515,0.7991,0.9284
98,451,79.8406,25.3714,22.6330,173.0394,0.8891,1.1210,0.8921,0.9376
99,113,50.6274,19.8886,7.2341,95.3434,0.5540,2.7493,0.3637,0.8309
